run,time,accuracy
1,126.126900,0.914400
2,126.140967,0.913000
3,128.314223,0.913100
4,126.227922,0.911400
5,127.848520,0.911800
6,130.435491,0.910800
7,124.700282,0.911400
8,126.904640,0.911200
9,129.308921,0.911800
10,127.497937,0.909500
