run,time,accuracy
1,78.940462,0.912000
2,79.780386,0.912700
3,80.919017,0.912800
4,80.895220,0.913300
5,80.605377,0.909800
6,83.299837,0.912200
7,80.780062,0.908000
8,79.816255,0.913500
9,80.471635,0.914600
10,80.858296,0.914100
