run,time,accuracy
1,314.759097,0.911400
2,330.341780,0.913400
3,324.910499,0.914600
4,333.059041,0.913900
5,323.025105,0.910700
6,307.466528,0.911600
7,356.571789,0.905800
8,354.810626,0.911000
9,374.106531,0.912700
10,372.132506,0.913800
