run,time,accuracy
1,104.957096,0.911400
2,93.853632,0.911700
3,106.444283,0.910500
4,104.417338,0.913200
5,99.066180,0.911700
6,100.778961,0.913400
7,105.088184,0.911600
8,112.469550,0.913200
9,102.003230,0.913800
10,96.393122,0.911000
