run,time,accuracy
1,79.883338,0.910400
2,78.728869,0.914100
3,80.127237,0.913100
4,74.781936,0.912300
5,77.103128,0.911900
6,78.272791,0.912200
7,75.837132,0.908300
8,76.708986,0.912100
9,78.152491,0.914200
10,79.827566,0.909300
