run,time,accuracy
1,96.078234,0.911700
2,95.661818,0.909900
3,93.726210,0.909900
4,89.730744,0.915900
5,94.564138,0.912400
6,95.207731,0.913000
7,91.646237,0.911900
8,91.657550,0.911900
9,93.099234,0.909800
10,96.046156,0.913500
